colonia,municipio,estado,anio,mes,tipo_residuo,toneladas_recolectadas,num_viajes,cobertura_pct,canon_cercano,fuente
La Mesa,Tijuana,Baja California,2023,Enero,Sanitario,33.12,8,83.0,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
La Mesa,Tijuana,Baja California,2023,Abril,Mixto,35.9,14,62.6,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2021,Marzo,Papel/Carton,22.53,12,91.6,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2021,Enero,Vidrio,27.79,6,61.4,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2021,Junio,Organico,16.67,6,79.2,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2021,Mayo,Organico,29.85,1,90.8,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2022,Abril,Mixto,25.74,7,81.6,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2022,Febrero,Vidrio,5.07,20,86.8,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2022,Junio,Vidrio,25.37,8,95.7,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2022,Septiembre,Organico,9.35,18,81.8,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2023,Octubre,Mixto,13.49,9,82.5,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2023,Marzo,Sanitario,5.46,13,88.9,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2023,Abril,Metal,23.73,8,91.3,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Playas de Tijuana,Tijuana,Baja California,2023,Septiembre,Plastico,19.24,15,81.8,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2021,Noviembre,Sanitario,24.57,9,74.5,N/A,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2021,Diciembre,Plastico,12.2,17,65.1,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2021,Abril,Papel/Carton,31.12,5,89.0,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2021,Agosto,Plastico,21.13,9,71.3,N/A,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2022,Septiembre,Vidrio,36.43,1,82.7,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2022,Julio,Sanitario,3.35,5,63.9,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2022,Mayo,Papel/Carton,8.99,3,88.8,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2022,Marzo,Organico,36.38,9,85.5,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2023,Abril,Sanitario,21.52,9,62.6,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2023,Julio,Organico,26.89,5,88.5,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2023,Marzo,Mixto,29.2,8,88.7,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Camino Verde,Tijuana,Baja California,2023,Diciembre,Plastico,13.65,5,91.0,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2021,Noviembre,Vidrio,15.12,11,80.8,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2021,Febrero,Organico,27.31,13,65.3,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2021,Marzo,Plastico,23.01,9,68.3,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2021,Junio,Plastico,31.77,18,67.3,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2022,Noviembre,Sanitario,27.94,4,97.4,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2022,Abril,Vidrio,2.0,5,70.5,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2022,Mayo,Vidrio,15.96,16,93.7,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2022,Enero,Vidrio,40.86,2,85.9,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2023,Marzo,Metal,22.14,6,62.5,N/A,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2023,Julio,Metal,12.43,6,76.7,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2023,Agosto,Metal,0.8,4,76.1,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Sanchez Taboada,Tijuana,Baja California,2023,Junio,Mixto,29.77,3,86.9,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2021,Noviembre,Metal,22.85,8,85.5,N/A,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2021,Agosto,Papel/Carton,29.68,10,78.6,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2021,Diciembre,Organico,30.62,18,78.0,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2021,Abril,Papel/Carton,29.36,11,69.5,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2022,Marzo,Papel/Carton,15.89,5,62.0,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2022,Octubre,Metal,14.56,11,67.4,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2022,Septiembre,Mixto,20.71,2,97.4,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2022,Noviembre,Mixto,22.01,9,74.9,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2023,Abril,Papel/Carton,1.09,12,88.5,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2023,Noviembre,Organico,15.74,20,77.1,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2023,Marzo,Sanitario,30.47,17,75.7,N/A,Ayuntamiento Tijuana / SEMARNAT
Mariano Matamoros,Tijuana,Baja California,2023,Octubre,Mixto,20.17,5,91.8,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2021,Noviembre,Vidrio,20.65,8,95.1,N/A,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2021,Julio,Vidrio,37.88,17,91.0,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2021,Agosto,Mixto,34.38,12,83.9,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2021,Diciembre,Mixto,16.58,11,93.8,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2022,Octubre,Sanitario,18.62,13,79.0,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2022,Diciembre,Organico,1.32,17,94.2,N/A,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2022,Agosto,Sanitario,40.31,6,88.6,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2022,Mayo,Organico,36.19,9,62.3,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2023,Marzo,Papel/Carton,35.19,5,96.7,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2023,Abril,Papel/Carton,41.29,12,63.2,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2023,Noviembre,Metal,8.07,12,69.6,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Los Laureles,Tijuana,Baja California,2023,Septiembre,Mixto,36.6,17,88.9,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2021,Agosto,Sanitario,34.83,12,70.1,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2021,Octubre,Vidrio,40.98,8,73.9,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2021,Abril,Plastico,9.8,3,82.4,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2021,Enero,Vidrio,4.07,3,68.7,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2022,Marzo,Sanitario,9.31,16,91.5,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2022,Noviembre,Metal,3.99,14,88.8,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2022,Agosto,Metal,12.35,5,69.2,N/A,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2022,Abril,Plastico,7.4,1,86.4,N/A,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2023,Marzo,Sanitario,19.9,6,74.7,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2023,Mayo,Metal,28.84,9,80.6,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2023,Julio,Plastico,15.0,12,63.1,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
El Florido,Tijuana,Baja California,2023,Abril,Organico,26.33,5,79.8,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2021,Febrero,Vidrio,32.57,19,81.7,N/A,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2021,Octubre,Vidrio,43.58,16,72.3,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2021,Noviembre,Papel/Carton,37.97,17,69.0,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2021,Julio,Plastico,27.8,14,61.0,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2022,Diciembre,Papel/Carton,33.57,6,86.2,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2022,Septiembre,Papel/Carton,10.76,19,84.5,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2022,Junio,Vidrio,42.72,15,73.1,N/A,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2022,Enero,Organico,20.95,17,93.5,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2023,Enero,Plastico,29.13,15,76.2,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2023,Octubre,Plastico,22.0,18,75.9,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2023,Abril,Metal,32.53,3,65.8,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
La Morita,Tijuana,Baja California,2023,Agosto,Metal,43.65,18,61.2,N/A,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2021,Agosto,Plastico,4.23,13,65.7,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2021,Noviembre,Papel/Carton,14.35,11,85.0,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2021,Abril,Vidrio,43.5,15,69.2,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2021,Marzo,Vidrio,4.01,2,61.5,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2022,Marzo,Mixto,43.52,19,65.3,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2022,Noviembre,Organico,36.79,6,92.4,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2022,Abril,Papel/Carton,1.21,4,81.2,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2022,Enero,Mixto,37.5,20,83.1,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2023,Abril,Papel/Carton,33.14,12,74.7,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2023,Agosto,Organico,3.94,17,91.7,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2023,Diciembre,Papel/Carton,14.63,18,67.6,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Terrazas del Valle,Tijuana,Baja California,2023,Enero,Plastico,4.63,4,92.8,N/A,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2021,Noviembre,Mixto,24.0,8,75.1,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2021,Abril,Mixto,10.08,13,85.4,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2021,Octubre,Plastico,11.51,1,71.4,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2021,Junio,Sanitario,26.73,20,69.5,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2022,Noviembre,Organico,44.54,2,70.4,N/A,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2022,Diciembre,Papel/Carton,20.37,7,83.8,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2022,Julio,Metal,10.81,18,69.2,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2022,Abril,Mixto,21.97,6,84.1,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2023,Enero,Sanitario,18.77,14,75.0,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2023,Septiembre,Plastico,14.49,19,70.0,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2023,Diciembre,Mixto,30.26,20,87.2,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Lomas del Porvenir,Tijuana,Baja California,2023,Agosto,Metal,40.98,12,78.9,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2021,Enero,Papel/Carton,6.66,13,93.4,N/A,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2021,Julio,Papel/Carton,27.2,3,68.5,N/A,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2021,Marzo,Sanitario,12.82,10,87.3,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2021,Noviembre,Papel/Carton,19.84,12,83.3,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2022,Mayo,Mixto,8.91,7,83.3,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2022,Enero,Vidrio,8.58,17,94.0,N/A,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2022,Agosto,Mixto,3.84,1,64.3,N/A,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2022,Noviembre,Organico,36.27,10,89.4,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2023,Octubre,Organico,24.46,8,81.7,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2023,Diciembre,Organico,2.98,11,97.4,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2023,Enero,Organico,19.49,3,85.1,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Hipódromo,Tijuana,Baja California,2023,Septiembre,Mixto,29.49,17,90.2,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2021,Enero,Organico,17.48,17,65.4,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2021,Agosto,Plastico,22.73,19,65.7,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2021,Noviembre,Organico,13.63,10,75.0,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2021,Octubre,Mixto,20.29,1,94.1,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2022,Agosto,Papel/Carton,38.89,12,68.3,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2022,Enero,Plastico,13.81,17,96.5,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2022,Noviembre,Vidrio,12.46,15,67.9,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2022,Mayo,Vidrio,33.68,2,88.6,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2023,Febrero,Sanitario,0.83,14,69.2,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2023,Julio,Vidrio,27.19,14,69.8,N/A,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2023,Octubre,Vidrio,2.39,6,82.7,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Libertad,Tijuana,Baja California,2023,Enero,Vidrio,37.22,19,64.1,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2021,Abril,Papel/Carton,3.8,18,72.6,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2021,Marzo,Mixto,31.47,13,90.2,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2021,Enero,Sanitario,36.04,4,95.5,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2021,Julio,Vidrio,3.41,12,88.1,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2022,Febrero,Vidrio,3.01,2,97.2,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2022,Mayo,Papel/Carton,21.87,7,60.4,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2022,Agosto,Organico,2.03,11,79.7,N/A,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2022,Junio,Sanitario,11.2,2,91.0,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2023,Diciembre,Organico,26.12,7,82.5,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2023,Febrero,Organico,33.41,16,93.9,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2023,Noviembre,Sanitario,39.63,14,77.9,N/A,Ayuntamiento Tijuana / SEMARNAT
Obrera,Tijuana,Baja California,2023,Junio,Mixto,16.78,15,93.8,N/A,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2021,Febrero,Vidrio,35.63,15,60.9,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2021,Agosto,Sanitario,29.78,6,67.3,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2021,Diciembre,Organico,10.85,13,60.1,N/A,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2021,Enero,Organico,20.19,1,74.9,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2022,Junio,Sanitario,10.21,14,85.0,Canon El Florido,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2022,Julio,Organico,35.98,5,82.9,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2022,Mayo,Metal,12.43,12,77.6,N/A,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2022,Diciembre,Metal,41.32,20,86.5,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2023,Diciembre,Organico,24.08,1,95.4,Canon Matamoros,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2023,Mayo,Vidrio,43.18,4,95.6,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2023,Abril,Organico,28.64,19,94.2,Canon El Refugio,Ayuntamiento Tijuana / SEMARNAT
Guaycura,Tijuana,Baja California,2023,Marzo,Papel/Carton,43.24,5,64.3,Canon Los Laureles,Ayuntamiento Tijuana / SEMARNAT
Postal,Tijuana,Baja California,2021,Abril,Sanitario,41.23,18,87.2,Canon La Morita,Ayuntamiento Tijuana / SEMARNAT
